timestamp,event,description_sinhala,description_english
2025-09-19 00:13:04,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:13:56,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 51s),Animals left the farm (Duration: 51s)
2025-09-19 00:13:59,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:02,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:14:05,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:11,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 6s),Animals left the farm (Duration: 6s)
2025-09-19 00:14:13,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:16,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 2s),Animals left the farm (Duration: 2s)
2025-09-19 00:14:18,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:19,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:14:28,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:14:40,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 12s),Animals left the farm (Duration: 12s)
2025-09-19 00:14:42,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:12,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 30s),Animals left the farm (Duration: 30s)
2025-09-19 00:15:14,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:15,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:15:18,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:19,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 1s),Animals left the farm (Duration: 1s)
2025-09-19 00:15:22,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
2025-09-19 00:15:25,EXIT,සතුන් වත්තෙන් පිටවී ගොස් ඇත (කාලය: 3s),Animals left the farm (Duration: 3s)
2025-09-19 00:15:30,ENTER,සතුන් වත්තට ඇතුළු වී ඇත,Animals entered the farm
